"Sr no.","Name of the Inventor","Title of the Invention","IPA No.","Filed on","Patent Grant No.","Date"
"82","Prof.J.Ramkumar(ME), Prof.Uday S Racherla (IME), Mr.Shivakumar (Student, DP)","Business Purpose Utility Vehicle-saloon","277652","18.11.2015","Design","18.11.2016"
"81","Dr. Ashok Kumar, BSBE, Mr.Anuj Tripathi, Senior Project Associate, BSBE","Polymer Matrix Scaffold and Process for Preparation Thereof","2851/DEL/2008","16.12.2008","276276","14.10.2016"
"80","Prof.J.Ramkumar(ME), Prof.Uday S Racherla (IME), Mr.Shivakumar (Student, DP)","Peltify Wearable Device for Thermoregulation","277649","18.11.2015","Design","16.09.2016"
"8","Dr. Manindra Agrawal (CSE), Mr. Neeraj Kayal (Student, CSE), Dr. Nitin Saxena (CSE)","Polynomial Time Deterministic Method for Testing Primality of Numbers","US- 10/631,346","31.07.2003","7346637","18.03.2008"
"79","Prof.Shantanu Bhattacharya (ME), Dr.Jhumkee Iyengar(Visiting Faculty,DP), Charu(Student,DP)","Design for Disability:a Waist Wearable for Visually Challenged for Indoor Navigation","277650","18.11.2015","Design","12.09.2016"
"78","Dr. S. Sundar Kumar Iyer, EE, Dr. Ramanathan Gurunath, Chemistry, Arun Tej M. PhD student, (EE), Basanta Kumar Rajbongshi, PhD student, (Chem), Gitalee Bhattacharjya, Graduated PhD student (Chem) & Vibhor Jain, Student MTech Dual (EE)","An Improved Organic Optoelectronic Device","1231/DEL/2007","07.06.2007","271903","03.09.2016"
"77","Prof.J.Ramkumar(ME), Prof.Uday S Racherla (IME), Mr.Shivakumar (Student, DP)","Business Purpose Utility Vehicle-ironing Cart","277651","18.11.2015","Design","31.08.2016"
"76","Prof.J.Ramkumar(ME), Prof.Uday S Racherla (IME), Mr.Shivakumar (Student, DP)","Business Purpose Utility Vehicle-vegetable Cart","277648","18.11.2015","Design","31.08.2016"
"75","Dr. Deepak Gupta (MSE), Dr. SSK Iyer, Dr. Monica Katiyar and Mr. Dipti Gupta","Organic Thin Film Transistors with Vertical Source and Drain Separation","1775/DEL/2004","20.09.2004","275162","24.08.2016"
"74","Dr. Kamal K. Kar, ME & Mr. Ahankari Sandeep Sureshrao, PhD student Materials Science Programme)","Functionally Graded Polymer Nanocomposites/composites having Crosslinking Density Variation and Their Manufacture","736/DEL/2007","30.03.2007","275001","18.08.2016"
"73","Dr. Kamal K. Kar, ME & Mr. Ahankari Sandeep Sureshrao, PhD student Materials Science Programme)","A Novel Functionally Graded Polymer(s)/polymeric Nanocomposite(s) [FGP(s)]/FGPNC(s)] having Glass Transition Temperature Variation and a Process for Preparation Thereof","681/DEL/2007","28.03.2007","274813","10.08.2016"
"72","Prof. Baquer Mazhari (EE), Mr. Himanshu Joshi and Mr. Shashi Bhushan Singh","Polysillicon Amoled Self- Biased Cascode Pixel Circuit with Highly Linear Transfer Characteristics","1774/DEL/2004","20.09.2004","274196","14.07.2016"
"71","Dr. Kamal K Kar (ME), Mr. Prahbat K.Agnihotri (MME), Sanjay Dasgupta, ISRO","A Carbon Nanotubes Coated Long Fiber and a Process for Preparation Thereof","3061/DEL/2005","16.11.2005","273503","13.06.2016"
"70","Dr. Ashok Kumar, BSBE","PVA-boronic Acid Containing Copolymer Compositions for Protein Delivery","US - 13/880,299","18.04.2013","9345773","24.05.2016"
"7","Prof. K. A. Padmanabhan, Dr. Rajat Moona, Mr. Rohit Toshniwal, Mr. Bipul Parua","Portable Computer Prinet","1521/DEL/1999","06.12.1999","212999","20.12.2007"
"69","Dr. K S Venkatesh (EE), Ms. Preeti Dubey","Convergent Matrix Factorization Based Entire Frame","US - 13/ 264,712","14.10.2011","9311897","12.04.2016"
"68","Prof. Ashutosh Sharma (Chemical Engg), Mr. Sandip Patil, Research Sacholar,(Chemical Engg)","Composite Reusable Adhesives","Japan - 2014-546674","09.03.2012","5914692","08.04.2016"
"67","Dr. Ajit K. Chaturvedi, EE & Mr. Ketan Rajawat student (EE)","A Low Complexity Symbol Timing Estimator for Mimo Modem using Two Samples per Symbol","1857/DEL/2006","18.08.2006","272223","22.03.2016"
"66","Dr. Ashok Kumar, BSBE & Ms. Era Jain, PhD student(BSBE)","Macroporous Polymeric Matrix and Process of Preparation Thereof","2275/DEL/2009","05.11.2009","271673","29.02.2016"
"65","Dr. Ashutosh Sharma, ChE, Dr. Animangsu Ghatak, ChE, Apurba Lal Das, Apurba Lal Das, M. Tech. Student (ChE), Vivek KatiyerM. Tech. Student (ChE), Rabibrata Mukherjee, Ph. D student (ChE) & Manish Kulkarni, Post Doctoral Fellow (ChE)","A Process for Generating Miniaturised Replicas of a 2D or 3D Pattern or an Object","522/DEL/2007","09.03.2007","271276","12.02.2016"
"64","Dr. B.K. Mishra (MME), Dr. Sandeep Sangal (MME) & Mr. Debasis Chaira (PhD student, MME)","Synthesis of Stable Nanocrystalline Iron Carbides by Reaction Milling in a Dual-drive Planetary Mill","1021/DEL/2007","10.05.2007","274931","10.01.2016"
"63","Dr. D.P. Mishra,AE & Mr. S.C Nayak","Recuperative Liquefied Petroleum Gas (LPG) Vortex Burner System","3197/DEL/2005","29.11.2005","269392","19.10.2015"
"62","Dr. Kamal K Kar (ME), Dr. J. Ram Kumar (ME) & Mr. Piyushkumar Bipinchandra Tailor (M.Tech Student-ME)","A Novel Viscoelastic Media Used for a Nano-finishing of Materials Through Abrasive Flow Machining Process and a Method of Manufacture Thereof","591/DEL/2007","19.03.2007","268746","15.09.2015"
"61","Dr.Kamal K. Kar, Mr.Pradip Paik","A Process for Preparation of Micron Sized High Molecular Weight Polymer","2503/DEL/2004","16.12.2004","268253","31.08.2015"
"60","Dr. Ashish Garg, MME, Dr. H.C. Verma, Phy, Mr. Mukesh Roy, Ph.D. student (Phy), Mr. Prem Prakash, M.Tech Student (MME)","Novel Low Temperature Synthesis of Nd-doped Bismuth Titanate Nanoparticles","804/DEL/2007","12.04.2007","268078","21.08.2015"
"6","Prof. Kunal Ghosh (AE)","A Device for Extracting Power from to-and-fro Wind","2673/DEL/1996","02.12.1996","212643","10.12.2007"
"59","Dr. Avinash Kumar Agarwal, ME","Conversion of Vegetable Oils to Biodiesel","2114/DEL/2006","26.09.2006","267538","22.07.2015"
"58","Dr. Avinash Kumar Agarwal, Mr. Deepak Agarwal, M.Tech student (CE)","Design of an Integrated System for using Straight Vegetable Oils as Fuels for Diesel Engines","587/DEL/2006","07.03.2006","269719","11.03.2015"
"57","Dr.Kunal Ghosh","A Wind Turbine Device","570/DEL/2005","16.03.2005","265417","24.02.2015"
"56","Dr. KK Kar, ME & Mr. Ahankari Sandeep Sureshrao, PhD student (MSP)","Functionally Graded Magnetic Materials and a Method for Preparation of the Same","680/DEL/2007","28.03.2007","264621","12.01.2015"
"55","Prof. K Muralidhar , ME & Mcgregor Robert, Switzerland, Szczerba Dominik, Poland, Szekely Gabor, Switzerland","Method, System and Device for Enhancing Flow Field Data","US - 13/059,328","25.08.2008","8898022","25.11.2014"
"54","Prof. Ashutosh Sharma , R. Mukharjee, PhD stud't, D. Faruqi (M.Tech), Dual & Ganesh Patil (M.Tech)","A Process for Generating Micro and Sub Macro Patterns on the Surfaces or Layers of Polymers","1519/DEL/2006","28.06.2006","263318","20.11.2014"
"53","Dr. Ashok Kumar, BSBE","Hydrogel Scaffolds for Tissue Engineering","US - 13/885,839","16.05.2013","8883503","11.11.2014"
"52","Dr. Kamal K Kar, ME, Mr. Ariful Rahman, PhD student, ME, Mr. Raghunandan Sharma, Mr. Sanjay Agarwal","Filament Including Carbon Nanotubes And Method Of Making A Filament Including Carbon Nanotubes","US - 13/017,303","31.01.2011","8853932","07.10.2014"
"51","Dr. Abhijit Kushari (AE) Mr. Mahindra Singh Rawat (AE)","A Twin- Fluid Internally Mixed Swirl Atomizer","180/DEL/2004","09.02.2004","262457","22.08.2014"
"50","Dr. S Sundar Manoharan, CHM","Zinc Chalcogenides, Doped Zinc Chalcogenides and Methods of Making","US - 13/371,063","10.02.2012","8801972","12.08.2014"
"5","Dr.K.Mahesh Sharma, Dr.Ajai Jain","A System for Multiligual Machine Translation from English to Hindi and other Indian Languages using Pseudo-interlingua and Hybridized Approach","59/DEL/2003","22.01.2003","199912","08.10.2007"
"49","Dr. Siddhartha Panda, CHE, Mr. Hakeem Abrar Ahmed, M.Tech student, ChE","Flexible Temperature Sensor and Sensor Array","US - 13/142,843","29.06.2011","8783948","22.07.2014"
"48","Prof. D. P. Rao, Mr. S. V. Sivakumar & Mr. Praveen Kr (ChE)","New Duplex Adsorption Process for Fractionation of Gas Mixture","1567/DEL/2006","04.07.2006","261050","30.05.2014"
"47","Dr. Kamal K. Kar & Mr. Pradip Paik","A Process for Preparation of Nanoparticles of Higher Molecular Weight of Polyethylene Polypropylene and Polystyrene","3161/DEL/2005","25.11.2005","260562","08.05.2014"
"46","Dr. Kamal K Kar, ME, Mr. Sumit Pramanik, PhD student, MSP","Hydroxyapatite Poly (Etheretherketone) Nanocomposities and Method of Manufacturing Same","US - 13/147,502","02.08.2011","8652373","18.02.2014"
"45","Dr. S Sundar Kumar Iyer (EE), Dr. Baquer Mazhari (EE), Mr. Chander Pal, Stud (M.Tech)","A Method of Varying Threshold Voltage in Mosfets","2056/DEL/2005","02.08.2005","258953","18.02.2014"
"44","Dr. Ashutosh Sharma, Manoj Gonuguntala, PhD student (ChE), & S Subramanian, M.Tech (ChE)","A Method and Apparatus for the Formation of Patterns on Surfaces and an Assembly and Alignment of the Structure Thereof","2787/DEL/2005","19.10.2005","258688","31.01.2014"
"43","Dr. Nishith Verma, ChE & Mr. Rupesh Verma, Graduate student","Novel Liquid-solid Radially Cross-flow Multi-stage Fluidized Bed Contactor","830/DEL/2007","16.04.2007","258376","03.01.2014"
"42","Dr. Kamal K Kar (ME), Prof. Prashant Kumar (ME), Prof. N.G. R. Iyengar (AE), Mr. Prahbat Kumar (MME)","Carbon Nanotube and Nanoparticle Coated Carbon Fiber Reinforced-polymer Hybrid Nanocomposite with Improved Thermomechanical Properties and a Process for Preparation Thereof","1813/DEL/2005","14.07.2005","258293","27.12.2013"
"41","Prof. Ashutosh Sharma and Ankur Verma (Student)","Miniature Lenses, Systems and Methods of Making the Same","US - 13/176,565","05.07.2011","8587881","19.11.2013"
"40","Dr. KK Kar, ME & Mr. Ariful Rahaman, PhD Scholar (MSP)","Carbon Nanotube(s) Coated Cutting Tool(s) and a Method of Manufacture Thereof","735/DEL/2007","30.03.2007","257845","12.11.2013"
"4","Dr. Sudipta Mukherjee (ME), Anupam Nagory (Student, ME)","A Novel Attachment for Affixing to Luggage Articles","1321/DEL/1996","12.08.1996","192495","28.10.2005"
"39","Dr. Dhirendra Katti, BSBE, Dr. Anupam Pal, BSBE, Mr. Shaunak G Pandya, M.Tech student, BSBE","Image Based Structural Characterization of Fibrous Materials","US - 12/870,569","27.08.2010","8571267","29.10.2013"
"38","Dr. Ashok Kumar, BSBE","Cryogels of PVA-boronic Acid Containing Co-polymers for Cell Culture","US - 13/880,020","17.04.2013","8569062","29.10.2013"
"37","Prof. Ashutosh Sharma (Chemical Engg.), Mr. Ankur Verma (Student), G U Kulkarni, (JNCASR)","Micropattern Generation with Pulsed Laser Diffraction","US - 13/359,798","27.01.2012","8545945","01.10.2013"
"36","Prof. Sundar Manohar","Doped Aluminum Oxides","US - 13/321,146","15.04.2011","8524178","03.09.2013"
"35","Dr. Arnab Bhattacharya, Palvali Teja B","ASJQ: Skylines with Aggregate Operations Over Multiple Relations","US - 13/072,916","28.03.2011","8504581","06.08.2013"
"34","Dr. Anupam Pal, BSBE, Sreeup Banerjee, Sudeepa Dikshit","Four Dimensional Reconstruction and Charaterization System","US - 12/883,649","16.09.2010","8463021","11.06.2013"
"33","Dr. Kamal K. Kar, ME , Dr.Animesh Biswas, EE& Mr. Ahankari Sandeep Sureshrao, PhD student Materials Science Programme)","Functionally Graded Wide-band Polymeric Composites for Microwave Absorbers and Method of Manufacturing Same","737/DEL/2007","30.03.2007","255975","10.04.2013"
"32","Dr. A. Upadhyaya, Dr. Balasubramaniam (MME) & Mr. J. Shankar, Former M.Tech. student","Rare Earth Oxide Dispersed Sintered Stainless Steels (Reo-Steels)","1224/DEL/2006","18.05.2006","255842","26.03.2013"
"31","Dr. V. K .Jain (ME) and Mr. S. Jha, PhD scholar (ME)","An Abrasive Flow Finishing Device, an Abrasive Flow Finishing Process and Magnetorheological Polishing Fluid","1991/DEL/2005","27.07.2005","255847","26.03.2013"
"30","Dr. V.K. Jain (ME), Dr. Raghu-Ram, SRE (ME), MR. D.K. Singh, PhD Scholar (ME)","A Method for Magnetic Abrasive Finishing using a Pulsating Flexible Magnetic Abrasive Brush and a Magnetic Abrasive Finishing Device","1990/DEL/2005","27.07.2005","255664","13.03.2013"
"3","Prof. P K Bhattacharya (ChE)","Process for the Recovery of Inorganic Sodium Compounds from Kraft Black Liquor","814/DEL/1995","03.05.1995","189310","05.05.2005"
"29","Dr. S Sundar Kumar Iyer, EE","A Contact-less Smart Card Reader System and a Method for Contact-less Powertransfer in Said Reader System","2190/DEL/2005","17.08.2005","254588","22.11.2012"
"28","Prof. D P Rao, GAIL & IITK","Fixed Bed Hypersorber and a Process for Fractionation of Fluid Mixtures using the Same","705/DEL/2003","19.05.2003","254118","20.09.2012"
"27","Prof. K Muralidhar,(ME), Mr. Manoj Sharma (ME), Mr. Ankit Jain (ME) & Mr. Ras Dwivedi (ME), Mr. Prateek Khanna, Mr. A Rama Rao","Multi Drug Delivery Medical Pump","238757","08.11.2011","Design","10.08.2012"
"26","Dr. R. Balasubramaniam,MME and Mr. Gadadhar Sahoo,PhD Scholar","Corrosion Resistant Phosphoric Iron for Concrete Embedment and Reinforcement","1823/DEL/2005","14.07.2005","253452","23.07.2012"
"258","Dr. Ashok Kumar (BSBE) Mr. Parvaiz Ahmad Sheikh (PhD Student, BSBE)","Elastomeric Biodegradable Antioxidant Polymer and Polymeric Film as Cardiac Tissue Patch and Thereof","201711041706","21.11.2017","360966","12.03.2021"
"257","Mr. Sanghamitro Chatterjee(Phd Student, Phy), Dr. Sudeep Bhattacharjee(Phy), Mr. Sanjeev K Maurya(Phd student, Phy), Mr. Vyas Srinivasan(Phd student, ME), Dr. Krishnacharya Khare(Phy), Dr. Sameer Khandekar(ME)","A Method for Transforming the Wettability of a Surface","201711036788","17.10.2017","360984","12.03.2021"
"256","Dr. Rajat Moona (CSE), Mr. Abhishek Gaurav (B.Tech Student), Mr. Ankit Sharma (B.Tech Student), Mr. Vikas Gelara (B.Tech Student)","Using Personal Devices for Authentication and Service Access at Service Outlets","1018/DEL/2008","21.04.2008","360755","10.03.2021"
"255","Dr. P S Sensarma (EE), Mr. Vasav Gautam, Student, EE","Power Extraction from Photovolatic Power Sources","1769/DEL/2011","22.06.2011","359581","25.02.2021"
"254","Dr. Ashwani Kumar Thakur (BSBE) & Mr. Virender Singh (PhD Student, BSBE)","Arginine Derivatives as Polyglutamine Aggregation Inhibitors","201611003335","29.01.2016","357676","03.02.2021"
"253","Dr. Manas K. Ghorai (CHM), Mr. Gaurav Goswami (PhD Student, CHM)","The Synthesis of Tolterodine from Activated Azetidine","201811046497","08.12.2018","357388","31.01.2021"
"252","Dr. Kamal Krishna Kar (ME & MSP), Dr. J. Ramkumar (ME & MSP), Mr. Yaswanth Kumar Penke (Student, MSP), Mr. Amit Kumar Yadav (PhD Student, MSP), Ms. Iram Malik (PhD Student, MSP), Ms. Alekha Tyagi (PhD Student, MSP)","Mn-Al-Fe Impregnated RGO Hybrid Composite for Arsenic Adsorption and its Sludge as Super-capacitor","201911002684","22.01.2019","356878","28.01.2021"
"251","Dr. J. G. Rao (BSBE)","Micro-RNA and Methods to Improve AAV Gene Expression and Vector Production","201611036719","26.10.2016","356731","27.01.2021"
"250","Mr. Nitesh Kumar (Student, MSE), Dr. Vivek Verma (MSE), Dr. Laxmidhar Behera (EE), Dr. Kaustubh Kulkarni (MSE), Dr. Bushra Ateeq (BSBE), Mr. Nishat Manzar (Student, BSBE)","Iron Oxide Nanoparticles and Method of its Production","201711016919","15.05.2017","356627","25.01.2021"
"25","Ms.Shanu Sharma (Student), Prof. Shatarupa Thakur Roy (DP),Prof. Satyaki Roy (DP), Dr. J Ramkumar (ME), Mr. Sathish Sekar (Student)","Stair Climbing Wheel Chair","238758","09.11.2011","Design","13.07.2012"
"249","Dr. Animansgu Ghatak, ChE, Mr. Nitish Singh (PhD Student, ChE), Mr. Anuj Tiwari (Ex-Dual Degree Student, ChE)","A Process for Dispersing Metallic Nanoparticles on a Template Surface","201811042159","08.11.2018","356587","25.01.2021"
"248","Dr. Shantanu Bhattacharaya (ME), Mr. Akshay Purwar (Student), Mr. Sandip Kumar Jain (Student), Mr. Kuldeepak Mahto (Student), Mr. Nishant Kumar, Mr. Swagatam Mitra (Student), Mr. Shishir Kumar Singh (Student), Mr. Virendra Singh (Junior Technical Superintendant)","Commode on Wheels","301001","04.01.2018","Design","18.01.2021"
"247","Mr. Shivam Srivastava (Proj. Engg., EE), Dr. Parthasarathi Sensarma (EE)","Frame Less Automatic Solar Panel Cleaning SystemDesign","325177-001","30.12.2019","Design","18.01.2021"
"246","Mr. Shivam Srivastava (Proj. Engg., EE), Dr. Parthasarathi Sensarma (EE)","Frame Less Automatic Solar Panel Cleaning System with Rotating Cleaning Brushes by PulleyDesign","325179-001","30.12.2019","Design","12.01.2021"
"245","Dr. Vinod Tare, CE","Toilet Waste Treatment System and Device","1996/DEL/2010","24.08.2010","355668","11.01.2021"
"244","Dr. P Sensarma (EE) and Mr. Ashok Kumar","Single-stage Transformer- Less Photovoltaic Inverter","2607/DEL/2014","11.09.2014","355651","11.01.2021"
"243","Dr. Kamal K. Kar (MSP) and Mr. Raghunandan Sharma (PhD Student)","One Step Synthesis of Carbon Nanotube-ceramic Nanocomposite Powder for Structural Nanocomposites","1332/DEL/2014","20.05.2014","355292","05.01.2021"
"242","Dr. Ashutosh Sharma (ChE), Mr. Kunal Mondal (Student, ChE), Dr. Bansi D. Malhotra (DTU), Md. Azahar Ali (SRA, CE), Mr. Chandan Singh (Student, NPL)","Silver Nanoparticles Impregnated Nanoporous Carbon Nanofiber Platform for Biosensor Application","201611026698","04.08.2016","354674","30.12.2020"
"241","Mr. Shivam Srivastava (Proj. Engg., EE), Dr. Parthasarathi Sensarma (EE)","Frame Less Automatic Solar Panel Cleaning System with Rotating Cleaning BrushesDesign","325178-001","30.12.2019","Design","29.12.2020"
"240","Dr. Ashwani Kumar Thakur (BSBE), Mr. Abhay Raj Joshi (Student, BSBE), Dr. Avinash Y. Gahane (Student, BSBE)","Method of Extraction for a Non-ionic Surfactant Adsorbed on Biodegradable Polymeric Nanoparticles","3003/DEL/2015","22.09.2015","354247","22.12.2020"
"24","Dr. D.P. Mishra, AE","An Improved Tandoor","1292/DEL/2004","14.07.2004","251576","24.03.2012"
"239","Dr. Ashok Kumar (BSBE), Mr. Syed Muntazir Andrabi (BSBE), Ms. Prerna Singh (BSBE)","Community Based Integrated Water Filter System for Clean Drinking Water","201911018305","08.05.2019","353533","11.12.2020"
"238","Mr. Auhin Kumar Maparu (Student, ChE), Dr. Sri Sivakumar (ChE), Ms. Beena Rai (TCS)","Process for Synthesis of Polydimethylsiloxane (PDMS) Nanoparticles","201911009242","09.03.2019","353263","08.12.2020"
"237","Dr. J. Ramkumar (ME), Mr. Ravi Raj (Student, ME), Mr. Om Prakash (Tech Superintendent, Physics), Mr. Shantanu Agarwal (Research Engineer, Matribhoomi), Mr. Sunil Kumar (Student, ME)","GraterDesign","325203-001","30.12.2019","Design","07.12.2020"
"236","Dr. Srisivakumar (ChE), Dr. Raj Ganesh Pala (ChE), Ms. Shilpi Saxena (ChE)","Process of Preparing Metal Nanoparticle Clicked Zeolite","201811041047","30.10.2018","352367","26.11.2020"
"235","Ms. Shanu Sharma (Student, DP), Dr. Shatarupa Thakur Roy (DP), Dr. Satyaki Roy (DP), Dr. J. Ramkumar (ME), Mr. Sathish Sekar (Student, DP)","A Self Propelled Stair Climbing Wheel Chair","2097/DEL/2011","25.07.2011","351234","10.11.2020"
"234","DoRA","SBERTC - Syndicate Bank Entrepreneurship Research and Training Centre","4700541","13.10.2020","Trademark","09.11.2020"
"233","Prof. Deepak Gupta (MSE & SCDT), Prof. Ashish Garg (MSE & SCDT) & Ms. Deepa Singh (PhD Student)","A Method of Fabricating High-performance Poly (Vinylidenedifluoride-trifluoroethylene),P(VDF-TRFE) Films","201611005439","16.02.2016","350008","23.10.2020"
"232","Prof. K S Venkatesh (EE) and Mr. Anindya Rai, (Student)","Software Flutter Shutter Imaging System for Blur Removal using a High Speed Camera","3488/DEL/2013","29.11.2013","349539","19.10.2020"
"231","Dr. Vivek Verma (MSE), Mr. Sankalp Verma (PhD Student, MSE)","Biodegradable Substrates for Flexible Electronics and Manufacturing Method","201711028088","08.08.2017","348713","06.10.2020"
"230","Ms. Ekta Surender (Student, Design Prog.), Dr. Koumudi Patil (HSS & Design Prog.)","Adu – HuliTrademark","4415129","21.01.2020","Trademark","21.09.2020"
"23","Dr.Kamal K. Kar, Mr.Prashant Kumar, Mr.Tinku K. Sah, Mr. S.D. Sharma","A Method of Preparing Fiber Reinforced Plastic Articles using Rubber Pressure Moulding Technique","2078/DEL/2004","25.10.2004","250274","23.02.2012"
"229","Dr. Ashwani Kumar Thakur (BSBE) and Mr. Virendra Singh","Prevention of Surface Adsorption of Calmidazolium Chloride to Inhibit Huntingtin Fragment Aggregation Linked to Huntington`s Disease","1182/DEL/2015","28.04.2015","346555","11.09.2020"
"228","mooKIT Logo","mooKITTrademark","4385322, 4385323","21.12.2019","Trademark","04.09.2020"
"227","Dr. Sanjay G. Dhande (Director), Dr. Nachiketa Tiwari (ME), Ms. Joshima V M (M. Design Programm)","A System and Method for Transmitting Mails from a First Location to a Second Location","3100/DEL/2010","27.12.2010","345564","28.08.2020"
"226","Dr. S. Sundar Kumar Iyer (EE) & Mr. Arun Tej Mallajosyulla, PhD Scholar,","A Solar Cell with Improved Light Absorption Capacity","933/DEL/2006","31.03.2006","344791","24.08.2020"
"225","Mr. Siddhant Srivastava (PhD. Student, Design Prog.), Mr. Ayush Gupta (B.Tech Student, BSBE), Dr. Arshad Ahmad (KGMU), Dr. J. Ramkumar (ME & Design Prog.), Dr. K. S. Venkatesh (EE), Mr. Virendra Singh (Technician, ME)","Multipurpose Proctoscope: Hinge TypeDesign","325093-001","27.12.2019","Design","17.08.2020"
"224","Dr. Siddhartha Panda, CHE, Subham Datidar, M.Tech student, CHE","Nanotextured Dielectric in Electrolyte Insulator Semiconductor Devices for Enhanced Sensitivity in Eloctrolyte-insulator-semiconductor Devices","1852/DEL/2010","05.08.2010","343673","08.08.2020"
"223","Dr. Sri Sivakumar (Chemical), Dr. Raj Ganesh S Pala (Chemical), Mr. Arun Prakash Upadhyay (Student) and Mr. D K Behara (Student)","Click Chemistry Based Approach to Improve the Photostability of Dyes for Long Term Stability Dye Sensitized Photoelectrochemical Water Splitting","109/DEL/2015","13.01.2015","342773","29.07.2020"
"222","Prof. Animangsu Ghatak (Chemical) and Mr. Nitish Singh","Adhesive Surface and its Process of Fabrication","26/DEL/2015","05.01.2015","342631","28.07.2020"
"221","Mr. Siddhant Srivastava (PhD. Student, Design Prog.), Mr. Ayush Gupta (B.Tech Student, BSBE), Dr. Arshad Ahmad (KGMU), Dr. J. Ramkumar (ME & Design Prog.)","Multipurpose Proctoscope: Nested TypeDesign","325057-001","27.12.2019","Design","28.07.2020"
"220","Mr. Bharat Bhushan (PhD Student), Dr. K. Mondal (MSE), Dr. B. S. Murty (MME, IIT Madras)","A Two-step Method for Preparation of Micron Sized, Nano-porous Powder Particles","201711004877","10.02.2017","342468","27.07.2020"
"22","Dr. Kamal K Kar (ME), Sanjay Dasgupta, Mr. Prahbat K. Agnihotri (MME)","A Method for Preparation of Nanoparticles Coated Carbon Fiber","3063/DEL/2005","16.11. 2005","250274","21.12.2011"
